,article title,earnings,date,hour
0,GPT4All is the Local ChatGPT for your documentsâ€¦ and it is free!,720.11,2023-05-23,22
1,Answering Question About your Documents Using LangChain (and NOT OpenAI),466.31,2023-05-23,22
2,Create a Chatbot for your website in 5 minutes,23.48,2023-05-23,22
3,Automate Youtube video views with python and Selenium,3.13,2023-05-23,22
4,AI Writer assistantâ€¦ for FREE,1.92,2023-05-23,22
5,Open Assistant AI is the best,1.41,2023-05-23,22
6,LaMini is here: a little giant LLM on your CPU,0.0,2023-05-23,22
7,LaMini power: when a small guy can beat the Giants,0.0,2023-05-23,22
8,Referral Earnings,41.57,2023-05-23,22
9,Articles Earnings,"1,216.36",2023-05-23,22
10,Total Earnings,"1,257.93",2023-05-23,22
